GLOBAL200_NUM,GLOBAL200_NAME,CREATED_BY,DATE_CREATED,MODIFIED_BY,DATE_MODIFIED
53,New Caledonia Dry Forests,,,,
54,Indochina Dry Forests,,,,
55,Chhota-Nagpur Dry Forests,,,,
56,Mexican Dry Forests,,,,
57,Tumbesian-Andean Valleys Dry Forests,,,,
58,Chiquitano Dry Forests,,,,
59,Atlantic Dry Forests,,,,
60,Hawaii Dry Forests,,,,
61,Sierra Madre Oriental and Occidental Pine-Oak Forests,,,,
62,Greater Antillean Pine Forests,,,,
63,Mesoamerican Pine-Oak Forests,,,,
64,Eastern Australia Temperate Forests,,,,
65,Tasmanian Temperate Rain Forests,,,,
66,New Zealand Temperate Forests,,,,
67,Eastern Himalayan Broadleaf and Conifer Forests,,,,
68,Western Himalayan Temperate Forests,,,,
69,Appalachian and Mixed Mesophytic Forests,,,,
70,Southwest China Temperate Forests,,,,
71,Russian Far East Temperate Forests,,,,
72,Pacific Temperate Rainforests,,,,
73,Klamath-Siskiyou Coniferous Forests,,,,
74,Sierra Nevada Coniferous Forests,,,,
75,Southeastern Coniferous and Broadleaf Forests,,,,
76,Valdivian Temperate Rain Forests / Juan Fernández Islands,,,,
77,European-Mediterranean Montane Mixed Forests,,,,
78,Caucasus-Anatolian-Hyrcanian Temperate Forests,,,,
79,Altai-Sayan Montane Forests,,,,
80,Hengduan Shan Coniferous Forests,,,,
81,Muskwa/Slave Lake Boreal Forests,,,,
82,Canadian Boreal Forests,,,,
83,Ural Mountains Taiga,,,,
84,East Siberian Taiga,,,,
85,Kamchatka Taiga and Grasslands,,,,
86,Horn of Africa Acacia Savannas,,,,
87,East African Acacia Savannas,,,,
88,Central and Eastern Miombo Woodlands,,,,
89,Sudanian Savannas,,,,
90,Northern Australia and Trans-Fly Savannas,,,,
91,Terai-Duar Savannas and Grasslands,,,,
92,Llanos Savannas,,,,
93,Cerrado Woodlands and Savannas,,,,
94,Northern Prairie,,,,
95,Patagonian Steppe,,,,
96,Daurian Steppe,,,,
97,Sudd-Sahelian Flooded Grasslands and Savannas,,,,
98,Zambezian Flooded Savannas,,,,
99,Rann of Kutch Flooded Grasslands,,,,
100,Everglades Flooded Grasslands,,,,
101,Pantanal Flooded Savannas,,,,
102,Ethiopian Highlands,,,,
103,Southern Rift Montane Woodlands,,,,
104,East African Moorlands,,,,
105,Drakensberg Montane Shrublands and Woodlands,,,,
106,Central Range Subalpine Grasslands,,,,
107,Kinabalu Montane Shrublands,,,,
108,Northern Andean Paramo,,,,
109,Central Andean Dry Puna,,,,
110,Tibetan Plateau Steppe,,,,
111,Middle Asian Montane Steppe and Woodlands,,,,
112,Eastern Himalayan Alpine Meadows,,,,
113,Alaskan North Slope Coastal Tundra,,,,
114,Canadian Low Arctic Tundra,,,,
115,Fenno-Scandia Alpine Tundra and Taiga,,,,
116,Taimyr and Siberian Coastal Tundra,,,,
117,Chukote Coastal Tundra,,,,
118,Fynbos,,,,
119,Southwestern Australia Forests and Scrub,,,,
120,Southern Australia Mallee and Woodlands,,,,
121,California Chaparral and Woodlands,,,,
122,Chilean Matorral,,,,
123,"""Mediterranean Forests, Woodlands, and Scrub""",,,,
124,Namib-Karoo-Kaokoveld Deserts,,,,
125,Madagascar Spiny Thicket,,,,
126,Socotra Island Desert,,,,
127,Arabian Highland Woodlands and Shrublands,,,,
128,Carnavon Xeric Scrub,,,,
129,Great Sandy-Tanami Deserts,,,,
130,Sonoran-Baja Deserts,,,,
131,Chihuahuan-Tehuacán Deserts,,,,
132,Galápagos Islands Scrub,,,,
133,Atacama-Sechura Deserts,,,,
134,Central Asian Deserts,,,,
135,Gulf of Guinea Mangroves,,,,
136,East African Mangroves,,,,
137,Madagascar Mangroves,,,,
138,New Guinea Mangroves,,,,
139,Sundarbans Mangroves,,,,
140,Greater Sundas Mangroves,,,,
141,Guianan-Amazon Mangroves,,,,
142,Panama Bight Mangroves,,,,
147,Amazon River and Flooded Forests,,,,
